StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage, , ,Q3,Q4,Veterancy,Player Stats ,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Open Changes ,Balance Priority _1,Balance Priority _2,Balance Priority _3,Balance Priority _4,Balance Priority _5,Balance Priority _6,Balance Priority _7,Q11
2023-12-07 15:24:26,2023-12-07 15:29:01,100,275,TRUE,2023-12-07 15:29:02,R_3wqXboxQUfrXzcl,anonymous,EN,Platinum - Diamond,Male,No Preference / Fill,"Lillia, Neeko, Dr Mundo, Kai'sa, and off meta stuff",Since late S1,"Gritoit, although I have multiple other accounts as well",Somewhat agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,I think removing Mythics should hopefully move us back towards how it was in S10 and earlier.,,,,,,,,25% crit chance and a balance pass afterwards for adc items.  Would be nice to be able to pick one non crit item and hit 100 crit chance.
2023-12-07 15:27:35,2023-12-07 15:32:01,100,266,TRUE,2023-12-07 15:32:02,R_1GWc0CY3onFUHbz,anonymous,EN,Platinum - Diamond,Male,Support,"Rell, Velkoz",12 years,SweetCherryBoyJp #NA1,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,"Remove Umbral Glaive, Cookies, Stopwatch. Rework Illaoi E, Yone E",7,6,5,2,3,1,4,"Making AP and AD items have the same availability of items (Umbral Glaive, Zhonya's, Gaurdian Angel), so it doesn't feel like specific classes of champions have better items then their AP/AD counterparts."
2023-12-07 15:31:19,2023-12-07 15:33:22,100,123,TRUE,2023-12-07 15:33:23,R_1ewpsOujSkqW7ht,anonymous,EN,Iron - Gold,Male,No Preference / Fill,Varus,10 years,,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Increase cooldown of all abilities.,4,3,7,1,5,6,2,
2023-12-07 15:17:26,2023-12-07 15:33:34,100,968,TRUE,2023-12-07 15:33:34,R_2QYxgPSnv3gqk2K,anonymous,EN,Platinum - Diamond,Male,Mid,Assassins / fighters,2019,https://www.op.gg/summoners/euw/NEVERGIVINGUPKR-DEV,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,"1. Rework / revert the entire champion stats and items and modify the rune table. What i mean by that is to pretty much revert the items to pre-mythic era, introduce more items, and for the runes, nerf the fk out of lethal tempo (turbo broken) and slighly buff or modify conq as well as add more runes (ex conq without extra damage only healing)...",3,1,2,5,4,6,7,
2023-12-07 15:27:59,2023-12-07 15:37:00,100,540,TRUE,2023-12-07 15:37:01,R_11j3fQokqfiCcj2,anonymous,EN,Platinum - Diamond,Male,Mid,"Ori, Syndra, Lux, Ahri, mages in general",Since end of Season 2,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,"remove hullbreaker, nerf magic resist, remove mythics",3,5,4,2,1,6,7,"old champion overhauls (asu etc.), item changes "
2023-12-07 15:32:22,2023-12-07 15:37:36,100,314,TRUE,2023-12-07 15:37:37,R_3Ol9bX8h8kqA80w,anonymous,EN,Platinum - Diamond,Female,Jungle,kindred,2012,,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,If someone feeds their ass off they should lose way more lp.,3,1,4,6,5,7,2,
2023-12-07 15:32:15,2023-12-07 15:39:28,100,433,TRUE,2023-12-07 15:39:29,R_Xn3N4vMPxsE6Sxr,anonymous,EN,Platinum - Diamond,Male,Top,"Pantheon, Aatrox, Sett, Mordekaiser, Darius, Volibear, Warwick, Olaf, Jax",8 Years,https://www.op.gg/summoners/euw/Hanzala-0000,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Only top laners should be able to use the teleport summoner spell ,6,5,4,2,1,7,3,
2023-12-07 15:37:09,2023-12-07 15:42:42,100,333,TRUE,2023-12-07 15:42:43,R_214EvauPYCqKt54,anonymous,EN,Platinum - Diamond,Male,Top,Yone/Pantheon/Swain/Aphelios/Senna/Rakan,Start of Season 11,https://www.op.gg/summoners/na/soncScoot-sonc,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Revert Lethal Tempo to its previous version,4,3,5,6,1,2,7,
2023-12-07 15:42:06,2023-12-07 15:50:19,100,492,TRUE,2023-12-07 15:50:19,R_1dg0rpiVXGhrUfL,anonymous,EN,Platinum - Diamond,Male,Top,"Akali, Pantheon, Renekton ",5~ years,,Somewhat agree,Strongly agree,Somewhat disagree,Strongly Disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,"Heavily nerf Akali E damage in return for being able to Q during E and buff her passive, hopefully with energy refund on champion hit, but if that's too much then however much damage would make up for gutting E. Remove hullbreaker. Change balance philosophy to allowing a perfectly played hard champion to be more effective than a perfectly played simple one. It's okay for Garen to be weak in D+ like it's okay for Lee sin to be weak in Bronze. ",3,2,1,4,5,6,7,
2023-12-07 15:54:07,2023-12-07 16:00:18,100,371,TRUE,2023-12-07 16:00:19,R_1LMXG59ufu9E8LU,anonymous,EN,Platinum - Diamond,Male,Jungle,"Zac, Aatrox, rumble",14 years,https://www.op.gg/summoners/euw/Master%20Gandalf-EUW,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,"I wouldnt mind getting a tiny bit more xp as a jungler. Feels a bit overnerfed, specially after next season I think junglers are gonna have a bad time",4,3,5,2,7,1,6,
2023-12-07 15:59:05,2023-12-07 16:02:46,100,221,TRUE,2023-12-07 16:02:47,R_2y9g4Keq0V8erQL,anonymous,EN,Iron - Gold,Male,Jungle,Evelynn,10,LeFrantz,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Revert the game back to Season 3,1,3,2,6,7,4,5,
2023-12-07 15:59:10,2023-12-07 16:04:25,100,314,TRUE,2023-12-07 16:04:25,R_22CR1AG02KiTiIb,anonymous,EN,Platinum - Diamond,Male,Support,Pyke,2011,,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Purge solo que of persons who troll and don't take the competitive environment seriously. Make matchmaking more consistent and accurate and make LP gain/losses more fair.,1,2,3,5,6,4,7,Add voice chat
2023-12-07 16:02:59,2023-12-07 16:05:58,100,178,TRUE,2023-12-07 16:05:58,R_3DnnuDcIqckvMPb,anonymous,EN,Platinum - Diamond,Male,Top,"garen,sett,mordekaiser,lux,tahm,renata",since the end of season 1,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,"just fix top lane, so people dont have to get lane frozen and zoned since 5 minutes for 20 minutes when they make 1 mistake early",6,5,4,3,2,7,1,
2023-12-07 16:05:21,2023-12-07 16:10:14,100,293,TRUE,2023-12-07 16:10:15,R_0lzYiwC1X1A8OeR,anonymous,EN,Iron - Gold,Male,Support,"Lulu, Nautilus, Graves, Tristana",13 years,MiMiKizm#NA1,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly Disagree,Strongly agree,"Make your visible rank matter.  Silvers should fight silvers, golds should fight golds.....etc",4,2,1,6,5,3,7,
2023-12-07 15:56:54,2023-12-07 16:11:13,100,858,TRUE,2023-12-07 16:11:14,R_1K3zI2GhZAoa2wA,anonymous,EN,Platinum - Diamond,Male,Mid,Syndra,10+ years,,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Delete Pantheon and Tryndamere from the game ,1,5,4,6,7,3,2,Add voice chat to the game 
2023-12-07 16:07:49,2023-12-07 16:11:20,100,210,TRUE,2023-12-07 16:11:20,R_1Fhs8Ux8rAdNkGL,anonymous,EN,Iron - Gold,Male,Bot,"Xayah, Ashe, Zeri, Sivir","A little under 10 years, since 2014",AvantelWulf#HOWL,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,,2,3,4,5,1,7,6,General inter-class balance (e.g. ADCs vs mid or support)
2023-12-07 16:08:00,2023-12-07 16:14:38,100,398,TRUE,2023-12-07 16:14:38,R_2PoDis6VmiLNpdu,anonymous,EN,Iron - Gold,Other,Bot,"Zeri, Kog'maw, Seraphine, any bot laner really",For about a year since the Start of season 12,Hey_Im_Bow,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Somewhat agree,Strongly agree,Strongly Disagree,Strongly agree,,3,2,1,6,4,5,7,
2023-12-07 16:13:55,2023-12-07 16:16:25,100,150,TRUE,2023-12-07 16:16:25,R_1dyiOCz2gAx1qmx,anonymous,EN,Platinum - Diamond,Male,Jungle,Viego,4 years,THEBRETT12345#TOPAZ,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Remove laners’ ability to farm camps,1,3,2,5,4,7,6,
2023-12-07 16:14:32,2023-12-07 16:19:32,100,299,TRUE,2023-12-07 16:19:32,R_2q4VcGGOKCLdQU7,anonymous,EN,Masters+,Male,Bot,zeri,s4,https://www.op.gg/summoners/euw/H%CE%BFmelander-EUW,Strongly agree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"remove all ap supports,AD supports AND adc supports they can get cancer and queue up in mid if they wana ap and adc if they wana adc",7,1,2,5,3,4,6,
2023-12-07 16:17:50,2023-12-07 16:23:04,100,313,TRUE,2023-12-07 16:23:05,R_26gTfkDSEwtYNM8,anonymous,EN,Iron - Gold,Male,Top,"Aatrox, Mordekaiser, Fiora & Syndra",Since end of s11,Adriaus28,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,"Reduce Jg & Adc impact and transfer that impact to solo laners, as Mid is more of a second supp and top is just ADC peel, usually ending in better Adc with most protection wins",2,4,5,3,1,6,7,Lane & player role power distribution
2023-12-07 16:20:12,2023-12-07 16:24:29,100,257,TRUE,2023-12-07 16:24:30,R_3mksjeVYbpMtgKM,anonymous,EN,Iron - Gold,Male,No Preference / Fill,"Jax, Anivia, Ashe, Pyke",11 years,Hump de bump,Somewhat agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,"Ban smurfs, increase afk penalty. ",3,1,2,4,5,6,7,Reduce mobility. Increase cooldowns to make decisions feel more impactful 
2023-12-07 16:03:06,2023-12-07 16:24:41,100,1295,TRUE,2023-12-07 16:24:41,R_1r8llViYRidXC5i,anonymous,EN,Masters+,Male,Bot,All marksman essentially,Since Season 1,,,Somewhat disagree,Somewhat agree,Strongly agree,Strongly Disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,"MMR/Ranked System ((reliability of) match making), Punishment system (modernised, updating tribunal system with comprehensive options of reporting a player, report of a Honour 5 tribunal member would trigger a message directed to a Riot Support employee to review the report sheet (format) to ban sb. faster and more effectively -> providing utility for Honour 5 players), Promotion games should be re-instituted for only Diamond+ (every tier from Emerald 1 100LP to D1 100 LP), negative LP gain issue should be solved, if ranked restricted you should play to WIN 5 games instead of playing just 5 games, rank 1 or/and top 10 rank players should receive money (potential review to become a pro player), punish jungle ganks more (e.g.: team jungler should be able to punish the enemy jungler by leaving one kurg or one wolf alive so it doesn't reset, junglers should get way less XP and Gold from minions), support roams should be punished if they fail (e.g.: sup item is tied to the bot lane partner, so if they roam and either die or non-bot laner in proximity dies, they should be punished with a timer of less XP/Gold, sup damage should be nerfed across the board but their shields, heals and cc should be buffed (let ADC do the damage during laning and sup should do mosquito bites)), make ADCs XP gain different than from any other role by potentially buffing it but still make it gain slightly less than mid jungle top (sup should maintain current xp sharing disadv without any changes)",1,5,4,6,7,2,3,
2023-12-07 16:18:18,2023-12-07 16:26:04,100,465,TRUE,2023-12-07 16:26:04,R_3fpivT35QPBAcw4,anonymous,EN,Iron - Gold,Female,Jungle,"Nunu, Vi, Azir, Kayn",Since the end of S6,adouble#NA1,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,I'd give Nunu a mythic skin lol (Can't think of any changes I'd make to the game itself),6,7,5,2,1,4,3,
2023-12-07 16:24:16,2023-12-07 16:27:18,100,181,TRUE,2023-12-07 16:27:19,R_0qTdE8Qd7e3Sq0p,anonymous,EN,Masters+,Male,Mid,"Nidalee, Cho'Gath, Kai'Sa, Anivia",13 years,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Remove Invisibility,1,2,3,4,7,5,6,
2023-12-07 16:36:07,2023-12-07 16:39:50,100,223,TRUE,2023-12-07 16:39:51,R_3lFbmbo0baH3Zkd,anonymous,EN,Platinum - Diamond,Male,Mid,Katarina,S1,I would but I change names all the time so,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,The community,5,3,2,4,1,6,7,
2023-12-07 16:35:57,2023-12-07 16:41:58,100,361,TRUE,2023-12-07 16:41:58,R_2Yb4hj6hSOCMGcI,anonymous,EN,Iron - Gold,Male,Top,"Darius, Trundle, Jayce, Yasuo, Draven, Kassadin, Rengar, Aphelios",5 years,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,"Disincentivize early fights botlane, or nerf their snowballing impact.",7,5,6,1,4,2,3,
2023-12-07 16:40:12,2023-12-07 16:49:23,100,551,TRUE,2023-12-07 16:49:24,R_ssUvNC8WkD2MSNb,anonymous,EN,Iron - Gold,Female,No Preference / Fill,"Neeko, Neeko, Neeko, Morgana, Neeko, Cassio, Rammus, Neeko, Nautilus, Xayah - lots of random ones and Neeko",10 years,,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly Disagree,Somewhat agree,revert the Rammus q change from years ago so using active items doesn't interrupt it anymore,6,7,1,4,2,3,5,
2023-12-07 16:57:55,2023-12-07 17:00:20,100,144,TRUE,2023-12-07 17:00:20,R_1LpWlxoNMM4LN3a,anonymous,EN,Platinum - Diamond,Female,Top,Teemo,12 years,,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,,Slow the game pace down,1,2,3,4,5,6,7,
2023-12-07 16:58:44,2023-12-07 17:02:15,100,210,TRUE,2023-12-07 17:02:15,R_3fdwtyjJLQrgGjP,anonymous,EN,Masters+,Male,Bot,"MF, Ashe, Kalista, Caitlyn, Tristana",Since beta,,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Neither agree nor disagree,I would delete yuumi,3,4,6,5,2,1,7,
2023-12-07 16:56:34,2023-12-07 17:02:43,100,368,TRUE,2023-12-07 17:02:43,R_3Ez07qtnFhUppkr,anonymous,EN,Platinum - Diamond,Male,Support,"Nami, Vel'Koz",for 8 years,,Strongly agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly agree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Strongly agree,remove Yuumi,3,2,6,1,7,5,4,
2023-12-07 17:10:29,2023-12-07 17:13:23,100,173,TRUE,2023-12-07 17:13:23,R_2wRgNdlA4Zvs7sp,anonymous,EN,Masters+,Male,Jungle,bel veth,end of season 5,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,"make new champions be required to play 10 games in normal quickplay/draft before being able to be used in ranked. This will only be in effect while the new champion has an increased price of 7800, when it gets reduced to 6300 the 10 game requirement is removed",4,5,6,7,1,2,3,
2023-12-07 17:11:56,2023-12-07 17:14:38,100,162,TRUE,2023-12-07 17:14:39,R_3J8fNPl4QQgk429,anonymous,EN,Platinum - Diamond,Male,Mid,"Kai'sa, Ziggs, Malphite, Teemo",10 years,Cacophony,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Somewhat agree,Strongly agree,I would remove the wind shitters.,2,1,4,6,3,7,5,
2023-12-07 17:09:03,2023-12-07 17:15:14,100,370,TRUE,2023-12-07 17:15:15,R_29biAbJStTXtng9,anonymous,EN,Iron - Gold,Female,Mid,"Taliyah, Neeko, Ahri",3 years,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,"Less dashes overall, delete Sylas, Viego, Pyke, Akshan, Zeri ",1,3,2,5,4,7,6,Reducing the number of dashes
2023-12-07 17:12:39,2023-12-07 17:18:40,100,361,TRUE,2023-12-07 17:18:41,R_UmxmlNzBSHVsnV7,anonymous,EN,Platinum - Diamond,Male,Jungle,"Zac, Jarvan IV, Kindred",3 years,https://www.op.gg/summoners/na/DrSnickerdoodle-3444,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Strongly agree,I would try and decrease the importance of bot lane and the feeling of having to only gank bot lane as jungle to win the game.,4,2,1,6,3,5,7,
2023-12-07 17:18:50,2023-12-07 17:23:11,100,260,TRUE,2023-12-07 17:23:11,R_1Qt4u2AjFDdc4GY,anonymous,EN,Platinum - Diamond,Male,Top,Riven,1.5 years,3yru,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly Disagree,Strongly agree,Work on making certain counter pick matchups for very hard lanes easier so counter picking isn't so op top lane,1,2,4,5,7,6,3,
2023-12-07 16:45:23,2023-12-07 17:27:51,100,2547,TRUE,2023-12-07 17:27:52,R_1LMs0YK9KhExciK,anonymous,EN,Iron - Gold,Male,Jungle,Kindred,5y,,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Matchmaking needs to improve and toxic behaviour penalties strengthen,2,1,3,4,5,6,7,None of the above. Dashes/move speed needs to be lowered slightly in strength and abundance among champions.
2023-12-07 17:27:03,2023-12-07 17:32:34,100,330,TRUE,2023-12-07 17:32:34,R_245Z5MiE4HP9Fh2,anonymous,EN,Iron - Gold,Male,Mid,"Ahri, Azir, Draven, Jhin",3 years,,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,I would improve the new player experience,1,2,4,5,7,6,3,
2023-12-07 17:32:36,2023-12-07 17:35:57,100,200,TRUE,2023-12-07 17:35:57,R_2SwBsG3qLHUhEJ3,anonymous,EN,Platinum - Diamond,Male,Support,"Galio, Nautilus, Leona, Morgana, Seraphine, Pyke",5 yrs,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,I would make some of the tank supports have more durability.,5,3,4,2,6,7,1,
2023-12-07 17:36:10,2023-12-07 17:39:24,100,194,TRUE,2023-12-07 17:39:25,R_2afU5BcM906Ybjg,anonymous,EN,Platinum - Diamond,Male,Mid,"Syndra, Ezreal",10 years,https://www.op.gg/summoners/na/Jmon-NA46,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,1,4,3,2,5,7,6,
2023-12-07 17:39:36,2023-12-07 17:50:22,100,646,TRUE,2023-12-07 17:50:23,R_2QRrJbPHJPCLJBV,anonymous,EN,Platinum - Diamond,Female,Support,"In no particular order: Soraka, Ashe, Miss Fortune, Riven, Seraphine, Sona, Lillia, Xayah, Poppy, Ahri, Lux, Sylas, Yone, Irelia, Jhin, Nami",Since 2013/2014,,Somewhat agree,Somewhat agree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,"I would remove turret plates from the game, their addition was honestly a mistake; I would also not greenlight the season 14 void grubs... that change is just going to either push bot lane to mid lane or make it so play is skewed towards split pushing; red buff used to burn turrets over time like void grubs will do and they removed it because it caused problems with turrets dying too fast. I believe the upcoming season 14 map changes are an awful change overall, and I don't understand why they decide to isolate top even more and make bot a gank fiesta 24/7.",6,2,3,1,7,5,4,N/A
2023-12-07 17:48:49,2023-12-07 17:51:49,100,180,TRUE,2023-12-07 17:51:50,R_1QLpcB7HcjepIYm,anonymous,EN,Platinum - Diamond,Male,Mid,"pantheon, corki, malzahar, ezreal",9 years,https://u.gg/lol/profile/br1/sivolc/overview,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,I would change Corki's kit so that he could be more viable.,1,2,3,4,5,6,7,
2023-12-07 17:41:34,2023-12-07 17:52:11,100,636,TRUE,2023-12-07 17:52:11,R_3E9y37If0QrO03M,anonymous,EN,Iron - Gold,Male,No Preference / Fill,Engage supports but I’ve been trying to do M7 on everyone so my match history is varied,Late 2013,Auxiliari,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,"Kill Hullbreaker, reduce cdr across all items, give towers either more damage or more tankiness, lower Irelia ms by 5",7,3,5,4,6,2,1,
2023-12-07 17:50:00,2023-12-07 17:53:21,100,200,TRUE,2023-12-07 17:53:22,R_2CBsQKKwlpRhIKB,anonymous,EN,Platinum - Diamond,Male,No Preference / Fill,"Currently Jayce, Senna and Shaco the most",7+ years,,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,"Nothing tbh, can't really find anything that's wrong with it",2,6,4,3,1,5,7,
2023-12-07 14:15:55,2023-12-07 18:07:49,100,13914,TRUE,2023-12-07 18:07:50,R_2uP7jjHmqdUH4YU,anonymous,EN,Masters+,Prefer not to say,Bot,zeri twitch aphelios,3 years,😙,Somewhat agree,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,"revert jgl exp nerfs, also uncap attack speed and make marksman items and role more about high attack speed/orb walking skill rather than high dmg autos",2,5,4,7,6,1,3,buff camp exp
2023-12-07 18:09:31,2023-12-07 18:12:42,100,191,TRUE,2023-12-07 18:12:43,R_par6JsN7v6RwRVf,anonymous,EN,Iron - Gold,Male,Bot,"Ezreal, Vayne, Camille, Lee Sin, Sylas, Corki, Lucian",Since late 2011.,https://www.op.gg/summoners/kr/Hide%20on%20bush-KR1,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,"Turn the cooldowns way down, sustain down, burstiness down. Make the game much more slow paced and methodical. If I wanted to play a bursty, fast paced game, I'd play a battle royale, not a fucking moba.",1,2,5,3,4,6,7,Remove shielding/healing enchanters from the game
2023-12-07 18:19:32,2023-12-07 18:22:02,100,150,TRUE,2023-12-07 18:22:03,R_3isc5bq4z9IoZs9,anonymous,EN,Platinum - Diamond,Male,Mid,"Sylas, Ezreal, Kha",Since 2011,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,I'd tone down dps.,1,3,5,2,4,6,7,
2023-12-07 18:26:32,2023-12-07 18:29:22,100,169,TRUE,2023-12-07 18:29:22,R_1g0GS5x57QOYrkF,anonymous,EN,Iron - Gold,Male,Support,"Taric, Illaoi, Braum, Samira",12 years,,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,I would reduce all damage in the game,1,2,3,5,6,7,4,
2023-12-07 18:39:49,2023-12-07 18:47:29,100,460,TRUE,2023-12-07 18:47:30,R_2siHyAFBMdOS1Sp,anonymous,EN,Platinum - Diamond,Male,Top,camille gwen sion,1 and a half years,https://www.op.gg/summoners/euw/DeezGhouls-EUW,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,Somewhat disagree,Neither agree nor disagree,Somewhat agree,nerf ornn,1,2,3,4,6,7,5,
